genero,nome,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
F,ÉRIKA JUCÁ KOKAY,15/08/1957,219455.00999999998,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,250.02,0.0,1104968.2799999998,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,0.0,0.0,90,2,1,132,17,16,33763.0
F,FERNANDA MELCHIONNA E SILVA,02/02/1984,300960.05000000005,20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.5,7126.13,2302.5,13667.64,4855.27,0.0,1089686.5599999998,108969.03,110770.2,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,0.0,0.0,88,4,3,54,9,9,33763.0
F,Geovânia de Sá,30/03/1972,307449.27,24548.31,31895.95,46155.4,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,25505.13,12008.51,0.0,1099857.22,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,0.0,0.0,91,1,0,15,0,0,33763.0
F,FLÁVIA CAROLINA PÉRES,21/01/1980,97678.83,0.0,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,15704.53,0.0,0.0,0.0,0.0,584981.5499999999,0.0,0.0,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,0.0,0.0,60,9,4,0,4,3,33763.0
F,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,26/04/1969,292573.52999999997,31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,18042.05,78.57,0.0,1110232.7,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.0,111580.78,111580.78,111580.78,0.0,0.0,86,6,0,123,4,0,33763.0
F,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,23/04/1966,160103.58,33126.14,37905.45,54717.25,-799.73,17561.17,8098.8,9441.57,52.93,0.0,0.0,0.0,0.0,1112345.6300000001,111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,0.0,0.0,35,4,4,0,0,0,33763.0
F,GLEISI HELENA HOFFMANN,06/09/1965,356166.14999999997,48759.04,47652.4,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,13254.54,321.2,0.0,1115264.2000000002,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,0.0,0.0,66,26,0,3,5,4,33763.0
F,GREYCE DE QUEIROZ ELIAS,15/12/1981,174934.57999999996,14671.44,21074.8,21705.97,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,3377.12,440.8,0.0,1068635.25,101294.97,95517.25,104632.97,104398.53,107931.21,110975.7,110129.51,110600.89,111580.83,111573.39,0.0,0.0,77,15,3,28,22,18,33763.0
F,JESSICA ROJAS SALES,28/11/1980,372946.86,36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2921.23,106000.0,0.0,0.0,1115845.9500000002,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,0.0,0.0,42,50,5,0,18,2,33763.0
F,JANDIRA FEGHALI,17/05/1957,302788.13,16677.6,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,18355.15,852.7,0.0,1091025.08,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,0.0,0.0,91,1,1,41,28,28,33763.0
F,DIRLAINE JAQUELINE CASSOL,03/12/1974,301704.5899999999,38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.7,11534.22,2240.92,7424.0,1140.31,0.0,1101655.82,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,0.0,0.0,81,11,3,47,23,15,33763.0
F,LAURIETE RODRIGUES DE JESUS,23/02/1970,274661.02,28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,5787.7,0.0,1078709.33,104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,0.0,0.0,89,3,0,48,4,2,33763.0
F,JOENIA BATISTA DE CARVALHO,20/04/1973,407075.81,36130.43,59868.3,85352.21,48106.28,35824.32,43428.93,39248.21,28261.77,13771.27,16656.8,427.29,0.0,928898.3200000002,91545.36,93767.62,92129.06,80310.66,79164.66,97275.18,102548.82,99850.5,95697.66,96608.8,0.0,0.0,83,9,0,98,27,15,33763.0
F,JOICE CRISTINA HASSELMANN,29/01/1978,301731.54999999993,25636.1,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20711.16,5166.24,0.0,0.0,1031958.4100000001,99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,0.0,0.0,87,5,0,57,6,3,33763.0
F,LÍDICE DA MATA E SOUZA,12/03/1956,312474.98,24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,25337.58,1305.99,0.0,1097526.02,105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,0.0,0.0,89,3,0,56,4,0,33763.0
F,LEDA MARIA SADALA BRITO,11/06/1966,358256.91,32892.4,30026.99,54798.85,53049.21,51266.85,41748.71,31911.86,37292.55,15145.93,9778.56,345.0,0.0,1101943.1600000001,111429.13,111306.3,109662.6,107931.96,110017.93,110446.45,110633.94,109994.1,111659.63,108861.12,0.0,0.0,72,20,2,24,23,15,33763.0
F,LEANDRE DAL PONTE,20/12/1975,363544.56,30663.14,49384.33,39707.22,42738.34,55109.67,32174.71,34082.73,28823.07,17999.54,31319.22,1542.59,0.0,1099930.9,108159.67,108159.67,109633.48,109791.39,109791.39,110801.97,109549.18,111428.41,111307.87,111307.87,0.0,0.0,80,12,2,31,27,23,33763.0
F,LIZIANE BAYER DA COSTA,24/01/1981,432416.41,24410.68,44680.51,52608.27,52869.92,60599.67,33727.59,34144.01,32890.25,31283.06,49719.23,15483.22,0.0,1059539.96,109492.14,104592.92,102932.25,102694.3,104044.41,103593.63,105180.1,107815.81,109597.2,109597.2,0.0,0.0,92,0,0,54,19,18,33763.0
F,LUISA CANZIANI DOS SANTOS SILVEIRA,11/04/1996,286024.63000000006,27680.49,45240.66,36807.66,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,13325.09,7.2,0.0,1065687.3800000001,111489.76,107944.29,101185.89,106123.31,110764.8,108871.95,100476.78,99154.41,109664.15,110012.04,0.0,0.0,82,10,10,18,48,48,33763.0
