genero,nome,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
F,SORAYA ALENCAR DOS SANTOS,04/12/1958,247439.59999999998,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,9654.69,228.89,0.0,1088262.38,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,0.0,0.0,90,2,0,29,16,16,33763.0
F,TABATA CLAUDIA AMARAL DE PONTES,14/11/1993,284592.2,38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.0,5016.41,3076.08,17821.14,17.02,0.0,744732.36,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,0.0,0.0,88,4,3,137,9,9,33763.0
F,TEREZA CRISTINA CORREA DA COSTA DIAS,06/07/1954,152145.45,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,23763.02,4522.7,0.0,0.0,0.0,682604.66,0.0,0.0,1279.5,71166.6,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,0.0,0.0,63,6,4,59,7,6,33763.0
F,VIVIANE DA COSTA REIS,05/08/1991,364896.7100000001,50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,25660.38,288.09,0.0,1108885.8199999998,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.0,111423.0,111423.0,111423.0,0.0,0.0,81,11,0,79,39,21,33763.0
F,MAGDA MOFATTO HON,26/10/1948,247802.06,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,115.33,69.27,0.0,0.0,1079760.3199999998,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,0.0,0.0,77,15,12,28,42,36,33763.0
F,TEREZA NELMA DA SILVA PORTO VIANA SOARES,07/10/1957,366423.0699999999,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.1,0.0,1096693.18,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,0.0,0.0,79,13,0,103,85,36,33763.0
F,LUIZA ERUNDINA DE SOUSA,30/11/1934,222485.05000000002,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.0,246.98,0.0,984473.0800000002,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,0.0,0.0,78,14,0,37,23,14,33763.0
F,LUIZIANNE DE OLIVEIRA LINS,18/11/1968,394598.68,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,0.0,0.0,1116014.4200000002,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,0.0,0.0,82,10,3,5,16,10,33763.0
F,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,26/11/1986,203702.63999999998,20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,6249.12,322.34,0.0,0.0,0.0,0.0,1087643.97,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,0.0,0.0,53,8,4,14,10,6,33763.0
F,FABIANA SILVA DE SOUZA,09/01/1980,246957.41999999998,19669.14,45316.31,52715.53,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,0.0,1113455.24,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,0.0,0.0,76,16,5,22,4,0,33763.0
F,CYLMARA FERNANDES DA ROCHA GRIPP,04/09/1973,431336.2,56886.05,57867.3,54199.26,62724.01,46657.4,33841.62,21007.85,23443.28,30345.94,44363.49,0.0,0.0,1108625.39,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,0.0,0.0,77,15,1,30,22,16,33763.0
F,MARGARETE DE CASTRO COELHO,12/03/1961,379382.14,45113.84,50976.4,52735.6,50764.85,28872.48,40798.7,35963.33,15107.77,13877.11,44057.01,1115.05,0.0,1079379.9100000001,110943.91,108857.07,110120.74,99024.19,107482.1,108590.38,108590.38,108590.38,108590.38,108590.38,0.0,0.0,81,11,1,58,27,18,33763.0
